Q, part number, footprint, ref_des
12, 0.1uF, Capacitors_SMD:C_0603, C11 C9 C12 C10 C1 C2 C3 C4 C5 C6 C7 C8
8, 100k, Resistors_SMD:R_0603, R9 R10 R11 R12 R13 R14 R15 R16
3, 10k, Resistors_SMD:R_0603, R19 R20 R21
2, 10uF, Capacitors_SMD:C_0805, C13 C14
3, 140k, Resistors_SMD:R_0603, R4 R5 R6
2, 500k, Resistors_SMD:R_0603, R7 R8
1, 5, Resistors_SMD:R_0603, R18
3, 60k, Resistors_SMD:R_0603, R1 R2 R3
1, INA233, digikey-footprints:MSOP-10_W3mm, U1
1, LVK12R075DER, PJS_smt_parts:LVK12, R17
1, Metroid, PJS-icons:metroid, icon1
1, NCD9830, Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm, U2
1, OSTTE120104, TerminalBlocks_Phoenix:TerminalBlock_Phoenix_PT-3.5mm_12pol, J1
1, Raspberry_Pi_2_3, Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm, J2
