ref_des, part number, footprint
C1, 0.1uF, Capacitors_SMD:C_0603
C10, 0.1uF, Capacitors_SMD:C_0603
C11, 0.1uF, Capacitors_SMD:C_0603
C12, 0.1uF, Capacitors_SMD:C_0603
C13, 10uF, Capacitors_SMD:C_0805
C14, 10uF, Capacitors_SMD:C_0805
C2, 0.1uF, Capacitors_SMD:C_0603
C3, 0.1uF, Capacitors_SMD:C_0603
C4, 0.1uF, Capacitors_SMD:C_0603
C5, 0.1uF, Capacitors_SMD:C_0603
C6, 0.1uF, Capacitors_SMD:C_0603
C7, 0.1uF, Capacitors_SMD:C_0603
C8, 0.1uF, Capacitors_SMD:C_0603
C9, 0.1uF, Capacitors_SMD:C_0603
J1, OSTTE120104, TerminalBlocks_Phoenix:TerminalBlock_Phoenix_PT-3.5mm_12pol
J2, Raspberry_Pi_2_3, Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm
R1, 60k, Resistors_SMD:R_0603
R10, 100k, Resistors_SMD:R_0603
R11, 100k, Resistors_SMD:R_0603
R12, 100k, Resistors_SMD:R_0603
R13, 100k, Resistors_SMD:R_0603
R14, 100k, Resistors_SMD:R_0603
R15, 100k, Resistors_SMD:R_0603
R16, 100k, Resistors_SMD:R_0603
R17, LVK12R075DER, PJS_smt_parts:LVK12
R18, 5, Resistors_SMD:R_0603
R19, 10k, Resistors_SMD:R_0603
R2, 60k, Resistors_SMD:R_0603
R20, 10k, Resistors_SMD:R_0603
R21, 10k, Resistors_SMD:R_0603
R3, 60k, Resistors_SMD:R_0603
R4, 140k, Resistors_SMD:R_0603
R5, 140k, Resistors_SMD:R_0603
R6, 140k, Resistors_SMD:R_0603
R7, 500k, Resistors_SMD:R_0603
R8, 500k, Resistors_SMD:R_0603
R9, 100k, Resistors_SMD:R_0603
U1, INA233, digikey-footprints:MSOP-10_W3mm
U2, NCD9830, Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm
icon1, Metroid, PJS-icons:metroid
